   index	                                url_name	                category	         gformat	           start	             due	name	path	module_id	data	chapter_mid
      18	        36bcbc2a9dbd4f4b8546f13c035b2759	                 chapter	            None	2014-02-24 00:30:00	            None	Week 1: Feb 24 - March 2	/36bcbc2a9dbd4f4b8546f13c035b2759	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759	None	None
      19	        85a8eeb47206447ca769f74d93d3db6c	              sequential	            None	2014-02-24 00:30:00	            None	Section 1: Introduction	/36bcbc2a9dbd4f4b8546f13c035b2759/85a8eeb47206447ca769f74d93d3db6c	BerkeleyX/Stat_2.1x/sequential/85a8eeb47206447ca769f74d93d3db6c	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      20	        b86dc20df1744f7882b2b3296f24b54d	                vertical	            None	2014-02-24 00:30:00	            None	Lec 1.1. Why study descriptive statistics?	/36bcbc2a9dbd4f4b8546f13c035b2759/85a8eeb47206447ca769f74d93d3db6c/1	BerkeleyX/Stat_2.1x/vertical/b86dc20df1744f7882b2b3296f24b54d	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      21	        6753956cd9f841bf8c72d53990465188	                   video	            None	2014-02-24 00:30:00	            None	Why study descriptive statistics?	/36bcbc2a9dbd4f4b8546f13c035b2759/85a8eeb47206447ca769f74d93d3db6c/1/1	BerkeleyX/Stat_2.1x/video/6753956cd9f841bf8c72d53990465188	{"ytid": "0.75:xakXpEoPsZs,1.00:ePSpU1YnS0w,1.25:M-n87wKnEHQ,1.50:gxQP7K2g8ok"}	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      22	        695dd97b22644eeebca56b1eb9817c7f	                    html	            None	2014-02-24 00:30:00	            None	Lecture 1.1 Slides	/36bcbc2a9dbd4f4b8546f13c035b2759/85a8eeb47206447ca769f74d93d3db6c/1/2	BerkeleyX/Stat_2.1x/sequential/85a8eeb47206447ca769f74d93d3db6c/1	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      23	        e1e54707902f4b0685b5ea200ad49644	                vertical	            None	2014-02-24 00:30:00	            None	Lec 1.2. Variables: terminology	/36bcbc2a9dbd4f4b8546f13c035b2759/85a8eeb47206447ca769f74d93d3db6c/2	BerkeleyX/Stat_2.1x/vertical/e1e54707902f4b0685b5ea200ad49644	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      24	        b27c297fea924698ba7394704f38e688	                   video	            None	2014-02-24 00:30:00	            None	Variables: terminology	/36bcbc2a9dbd4f4b8546f13c035b2759/85a8eeb47206447ca769f74d93d3db6c/2/1	BerkeleyX/Stat_2.1x/video/b27c297fea924698ba7394704f38e688	{"ytid": "0.75:S3_NP5XSZ2k,1.00:pI4xB2iEf1k,1.25:i1_F7SgFnGY,1.50:5k6_ZUSp6RU"}	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      25	        b7f7d698541244a9b8b52de2502a70d6	                    html	            None	2014-02-24 00:30:00	            None	Lecture 1.2 Slides	/36bcbc2a9dbd4f4b8546f13c035b2759/85a8eeb47206447ca769f74d93d3db6c/2/2	BerkeleyX/Stat_2.1x/sequential/85a8eeb47206447ca769f74d93d3db6c/2	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      26	        050c9f46f97f44129f6286941b19ac4c	                vertical	            None	2014-02-24 00:30:00	            None	Lec 1.3. Bar graphs: describing categorical data	/36bcbc2a9dbd4f4b8546f13c035b2759/85a8eeb47206447ca769f74d93d3db6c/3	BerkeleyX/Stat_2.1x/vertical/050c9f46f97f44129f6286941b19ac4c	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      27	        1c00ce8869e044d5a6615ed5bc943de5	                   video	            None	2014-02-24 00:30:00	            None	Bar graphs: describing categorical data	/36bcbc2a9dbd4f4b8546f13c035b2759/85a8eeb47206447ca769f74d93d3db6c/3/1	BerkeleyX/Stat_2.1x/video/1c00ce8869e044d5a6615ed5bc943de5	{"ytid": "0.75:8Eb7jPAmPbk,1.00:bdaL7nSFlJo,1.25:Tz3lF67sYWE,1.50:ygohjPdBbSM"}	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      28	        d741d636726c4a40b8d0c53008aca2a4	                    html	            None	2014-02-24 00:30:00	            None	Lecture 1.3 Slides	/36bcbc2a9dbd4f4b8546f13c035b2759/85a8eeb47206447ca769f74d93d3db6c/3/2	BerkeleyX/Stat_2.1x/sequential/85a8eeb47206447ca769f74d93d3db6c/3	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      29	        b52c7361da704e97869f57e90201455d	              sequential	            None	2014-02-24 00:30:00	            None	Reading and Practice for Graded Exercise Set 1	/36bcbc2a9dbd4f4b8546f13c035b2759/b52c7361da704e97869f57e90201455d	BerkeleyX/Stat_2.1x/sequential/b52c7361da704e97869f57e90201455d	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      30	        e4afe0e19c6443aba37efe4039afc095	                vertical	            None	2014-02-24 00:30:00	            None	Reading and practice for Exercise Set 1	/36bcbc2a9dbd4f4b8546f13c035b2759/b52c7361da704e97869f57e90201455d/1	BerkeleyX/Stat_2.1x/vertical/e4afe0e19c6443aba37efe4039afc095	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
      31	        ee8268dc5d1a45b3918beeb6cafe206e	                    html	            None	2014-02-24 00:30:00	            None	Reading and Practice for Exercise Set 1	/36bcbc2a9dbd4f4b8546f13c035b2759/b52c7361da704e97869f57e90201455d/1/1	BerkeleyX/Stat_2.1x/sequential/b52c7361da704e97869f57e90201455d/1	None	BerkeleyX/Stat_2.1x/chapter/36bcbc2a9dbd4f4b8546f13c035b2759
